Id,Year,Ages,Style,LotArea,GrLivArea,SalePrice
1,2004,Young,OneStory,3182,1269,192000
2,1998,Young,OneStory,10140,1680,213250
3,1950,Old,OneStory,9600,1067,128000
4,1992,Young,TwoStory,10186,1923,190000
5,2006,Young,TwoStory,15611,1919,233230
6,2005,Young,OneStory,6955,1368,202500
7,1955,Old,Other,9600,1661,165500
8,1977,Young,TwoStory,12227,2872,272000
9,1949,Old,TwoStory,6270,2002,145000
10,2009,Young,TwoStory,3951,1224,164500
11,1984,Young,Other,7937,1003,142500
12,1964,Old,Other,9350,1302,158000
13,2006,Young,OneStory,12456,1718,337500
14,2003,Young,TwoStory,10625,2046,284000
15,1957,Old,OneStory,7100,816,129900
16,1969,Old,OneStory,9920,971,128500
17,1957,Old,OneStory,11500,845,84000
18,1981,Young,OneStory,12546,1440,182900
19,1923,Old,Other,8737,1635,210000
20,1959,Old,OneStory,7560,1040,133700
21,1928,Old,Other,7558,1913,177000
22,2001,Young,OneStory,13704,1541,205000
23,2003,Young,OneStory,10083,1200,184900
24,1958,Old,Other,13650,1920,172500
25,1924,Old,Other,5000,1691,127000
26,2006,Young,OneStory,11146,1717,255500
27,2004,Young,OneStory,13695,1114,159000
28,1922,Old,Other,11526,2555,191000
29,1974,Young,Other,10625,1173,170000
30,1965,Old,OneStory,10289,1073,156000
31,2004,Young,TwoStory,5105,1102,148800
32,1994,Young,TwoStory,8125,1481,174000
33,2004,Young,OneStory,8400,1484,213000
34,1977,Young,Other,8471,1212,151000
35,1984,Young,OneStory,6951,923,119500
36,1969,Old,TwoStory,11075,1968,172000
37,2004,Young,TwoStory,11796,1959,215000
38,1975,Young,OneStory,10356,969,122000
39,2007,Young,OneStory,9520,1646,293077
40,1893,Old,Other,13500,2775,325000
41,1968,Old,OneStory,8724,894,129000
42,1949,Old,OneStory,9000,480,35311
43,2000,Young,TwoStory,8063,1690,181000
44,1978,Young,Other,9101,1110,165500
45,1910,Old,Other,8800,1140,96500
