Id,SalePrice,Foundation,RoofStyle,FFlrSF,SFlrSF,TotalBsmtSF,YearBuilt,Ages
1,160000,BrkTil,Gable,976,332,728,1940,Old
2,215000,PConc,Gable,1065,846,777,1993,Young
3,81000,PConc,Gambrel,658,526,658,1910,Old
4,197000,CBlock,Hip,1040,685,539,1979,Young
5,176000,CBlock,Gable,1098,880,832,1968,Old
6,225000,CBlock,Gable,1122,1121,700,1990,Young
7,148500,CBlock,Gable,855,601,855,1976,Old
8,148500,CBlock,Gable,855,586,855,1978,Young
9,2.00E+05,CBlock,Gable,1338,1296,1248,1969,Old
10,189950,BrkTil,Gable,912,514,912,1918,Old
11,137450,BrkTil,Gable,1160,448,976,1925,Old
12,178000,PConc,Gable,799,772,799,1993,Young
13,147000,CBlock,Gable,855,467,855,1974,Old
14,151000,PConc,Gable,600,600,600,2004,Young
15,2.00E+05,PConc,Gable,1010,1257,1010,2002,Young
16,345000,PConc,Hip,1182,1142,1175,2005,Young
17,310000,PConc,Gable,1352,1168,1338,1993,Young
18,412500,PConc,Gable,1572,1096,1572,2003,Young
19,305000,PConc,Hip,1482,780,1482,2003,Young
20,75000,CBlock,Gable,546,546,546,1970,Old
21,140000,CBlock,Gable,1048,510,913,1945,Old
22,207500,CBlock,Gable,1190,900,1190,1984,Young
23,129000,CBlock,Flat,1465,915,1021,1965,Old
24,137000,Stone,Gable,908,1020,1020,1910,Old
25,91500,CBlock,Gable,1002,454,810,1948,Old
26,240000,CBlock,Gable,1548,1066,1522,1974,Old
27,179540,PConc,Hip,728,728,728,2007,Young
28,135900,PConc,Gable,936,780,780,1912,Old
29,178000,BrkTil,Gable,832,809,728,1925,Old
30,147400,PConc,Gable,520,623,600,2005,Young
31,485000,PConc,Hip,1966,1174,1926,2008,Young
32,320000,PConc,Hip,1699,1523,1673,1990,Young
33,317000,PConc,Gable,1143,1330,1143,2004,Young
34,172500,CBlock,Hip,918,765,918,1978,Young
35,132500,CBlock,Gable,825,587,780,1939,Old
36,139500,BrkTil,Gable,944,545,778,1940,Old
37,337000,PConc,Gable,1268,1097,1252,1999,Young
38,130500,CBlock,Gable,725,754,725,1976,Old
39,104900,BrkTil,Gable,1281,457,715,1920,Old
40,159434,BrkTil,Gable,848,672,793,1932,Old
41,124900,BrkTil,Hip,1188,561,1088,1890,Old
42,225000,PConc,Gable,847,886,847,2003,Young
43,270000,PConc,Gable,1088,871,1088,2006,Young
44,85000,CBlock,Gable,536,576,536,1976,Old
45,187000,CBlock,Hip,1020,831,822,1964,Old
46,220000,PConc,Gable,927,988,908,1992,Young
47,79000,BrkTil,Gable,889,551,540,1900,Old
48,87000,CBlock,Gable,912,336,912,1930,Old
49,254900,PConc,Gable,991,956,991,2004,Young
50,239000,BrkTil,Gable,1170,1175,952,1932,Old
51,185000,PConc,Flat,1160,966,1013,1967,Old
52,265979,Stone,Mansard,1320,1320,1240,1880,Old
53,79900,BrkTil,Gable,1088,110,901,1920,Old
54,114504,CBlock,Gable,684,684,684,1910,Old
55,135000,CBlock,Gable,756,713,756,1906,Old
56,120000,CBlock,Gable,626,591,626,1980,Young
57,148800,PConc,Gable,551,551,551,2004,Young
58,383970,PConc,Gable,1282,1414,1264,2007,Young
59,145000,CBlock,Gable,988,517,883,1940,Old
60,164700,PConc,Gable,625,625,625,2006,Young
61,147000,CBlock,Hip,672,672,672,1920,Old
62,189000,PConc,Gable,1028,776,994,1999,Young
63,118500,CBlock,Gable,832,384,832,1947,Old
64,287000,PConc,Gable,1055,1208,1055,2001,Young
65,235000,CBlock,Hip,1236,872,1127,1935,Old
66,178000,PConc,Gable,707,707,707,2004,Young
67,185000,PConc,Gable,680,790,680,1993,Young
68,85400,CBlock,Gable,483,504,483,1971,Old
69,145000,CBlock,Gable,979,979,979,1946,Old
70,130000,PConc,Gable,976,732,976,2004,Young
71,116000,BrkTil,Gable,686,564,686,1918,Old
72,128000,BrkTil,Gable,757,567,672,1936,Old
73,140000,CBlock,Gable,1021,580,533,1958,Old
74,184000,PConc,Gable,1133,687,1026,1925,Old
75,190000,CBlock,Mansard,1161,808,808,1977,Young
76,146000,CBlock,Gable,855,601,855,1978,Young
77,167500,PConc,Gable,754,640,384,2006,Young
78,272000,CBlock,Gable,1542,1330,1330,1977,Young
79,83000,CBlock,Gable,483,504,483,1973,Old
80,173000,PConc,Gable,959,712,959,2000,Young
81,190000,PConc,Gable,790,784,796,1976,Old
82,205000,PConc,Gable,1222,888,948,1994,Young
83,119000,CBlock,Gable,1032,220,1032,1950,Old
84,138000,CBlock,Gable,1136,768,1208,1950,Old
85,107500,Stone,Gable,1378,994,994,1892,Old
86,250000,PConc,Gable,1026,932,1026,2005,Young
